Participant,Dons
Hans!,467730
Thauvin,355844
C̩line,333860
Lau20000,292460
SupremAkira,292148
Melusine,228520
Raptorr,213624
Checco,206742
Lord Westfrent,195412
Rockshar,194448
Guillaume,186628
Helyoz,165726
Sanddomen75,150512
Toma,142416
Super Nacho,137838
Biggun,131356
Steyrmat,128136
Nessa727,125136
Janine,123168
Elendala,120804
Warzzou,117852
Salerno,107280
Gersnow,100760
Ezylis,95546
Aldair II,87066
Benito766,83282
Alkaskrila,81480
Abigail,78070
Morgot,78070
Sir ChusKaO,75036
Bulle,73580
Padre,71492
Therion,67740
KillDid,67254
Poupard,66900
FraZone04,66168
TheHellKing,64744
 Natas66 ,64530
Esther,64418
Alrion,60864
Multifruits,60588
Destra,56686
Jess170186,56682
FallenAngel,55416
Natas99,54558
Ricketto,54320
CrowendHead,53098
Youhou,51858
Crocangel,51768
Yavalpa,48840
Zecko,38468
Jocia,36252
Bad man,35026
Valgameur,27780
Lancilotto,25284
DarthUseless,23478
Sir Janus,22524
Yolbry,18156
Thierry,10656
Huzur01,5830
Colossus,0
Elphye,0
HansII,0
Hums,0
LisaCb,0
Massa,0
Phoenix,0
Roiarthur67,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
